formula,expected_calculations,successful_calculations,calculation_count_complete,heatmap_generated,status,error
Ac2Cl6,288,288,True,True,success,
Ag4,317,317,True,True,success,
Ag4Cl4,288,288,True,True,success,
AgKO3,144,144,True,True,success,
Al4,323,323,True,True,success,
Al4P4,288,288,True,True,success,
AlGaO3,144,144,True,True,success,
Ar4,317,311,False,True,incomplete,
As4Ga4,288,288,True,True,success,
As6,319,319,True,True,success,
Au4,321,321,True,True,success,
Au4S2,288,288,True,True,success,
B12,323,323,True,True,success,
B2N2,288,288,True,True,success,
BCoV2,144,144,True,True,success,
BOs,288,288,True,True,success,
Ba2,321,277,False,True,incomplete,
Ba4O4,288,288,True,True,success,
BaK2Li,144,144,True,True,success,
Be2,317,273,False,True,incomplete,
Be4S4,288,288,True,True,success,
Bi4F12,288,288,True,True,success,
Bi6,321,321,True,True,success,
Br4Cu4,288,288,True,True,success,
Br4K4,288,288,True,True,success,
Br8,321,321,True,True,success,
C4,325,325,True,True,success,
C4Hf4,288,288,True,True,success,
C4Nb4,288,288,True,True,success,
C4Si4,288,288,True,True,success,
C4Ta4,288,288,True,True,success,
C4Th4,288,288,True,True,success,
C4Ti4,288,288,True,True,success,
C4V4,288,288,True,True,success,
C4Zr4,288,288,True,True,success,
CMo,288,288,True,True,success,
CO3Ru,144,144,True,True,success,
CW,288,288,True,True,success,
Ca2CdP,144,144,True,True,success,
Ca4,327,301,False,True,incomplete,
Ca4O4,288,288,True,True,success,
Cd2,319,287,False,True,incomplete,
Cd2Se2,288,288,True,True,success,
Cd4O4,576,576,True,True,success,
Ce4N4,288,288,True,True,success,
Cl4Cu4,288,288,True,True,success,
Cl4K4,288,288,True,True,success,
Cl4Na4,288,288,True,True,success,
Cl4Rb4,288,288,True,True,success,
Cl6La2,288,288,True,True,success,
Cl8,329,329,True,True,success,
ClCs,288,288,True,True,success,
ClLi2Sn,144,144,True,True,success,
ClTl,288,288,True,True,success,
Co2,325,325,True,True,success,
Co4O4,288,288,True,True,success,
Cr2,333,333,True,True,success,
Cr4N4,288,288,True,True,success,
Cs2,317,317,True,True,success,
Cu4,319,319,True,True,success,
CuFe2Ni,144,144,True,True,success,
Dy4N4,288,288,True,True,success,
Er4N4,288,288,True,True,success,
Eu4S4,288,288,True,True,success,
F4Li4,288,288,True,True,success,
F4Na4,288,288,True,True,success,
F8,321,321,True,True,success,
F8Hg4,288,288,True,True,success,
F8Ra4,288,288,True,True,success,
Fe2,329,329,True,True,success,
Fe4O4,288,288,True,True,success,
Ga4P4,288,288,True,True,success,
Ga8,319,319,True,True,success,
Gd4N4,288,288,True,True,success,
Ge2,321,321,True,True,success,
Ge3Te3,288,288,True,True,success,
Ge4Mg4N8,144,144,True,True,success,
H4,307,307,True,True,success,
H4Li4,288,288,True,True,success,
He2,307,307,True,True,success,
Hf2,319,319,True,True,success,
Hg2,323,299,False,True,incomplete,
Ho4N4,288,288,True,True,success,
I4Li4,288,288,True,True,success,
I8,319,319,True,True,success,
In2,319,319,True,True,success,
In4P4,576,576,True,True,success,
In4Sb4,288,288,True,True,success,
Ir2O4,288,288,True,True,success,
Ir4,319,319,True,True,success,
IrNa2Zn,144,144,True,True,success,
K2,323,323,True,True,success,
Kr4,317,243,False,True,incomplete,
Li3,315,315,True,True,success,
Lu2,319,319,True,True,success,
Lu4N4,288,288,True,True,success,
Mg2,317,293,False,True,incomplete,
Mg4O4,288,288,True,True,success,
Mn4,325,325,True,True,success,
Mn4S4,288,288,True,True,success,
Mo2,321,321,True,True,success,
N4Nd4,288,288,True,True,success,
N4Pr4,288,288,True,True,success,
N4Sm4,288,288,True,True,success,
N4Tb4,288,288,True,True,success,
N4Ti4,288,288,True,True,success,
N4Tm4,288,288,True,True,success,
N4V4,288,288,True,True,success,
N4Y4,288,288,True,True,success,
N4Yb4,288,288,True,True,success,
N8,329,329,True,True,success,
Na3,323,323,True,True,success,
Nb2,319,319,True,True,success,
Ne4,317,264,False,True,incomplete,
Ni4,325,325,True,True,success,
Ni4O4,288,288,True,True,success,
O2Pd2,288,288,True,True,success,
O2Pt2,288,288,True,True,success,
O3Pm2,288,288,True,True,success,
O3Re,288,288,True,True,success,
O4,329,329,True,True,success,
O4Rh2,288,288,True,True,success,
O4Ru2,288,288,True,True,success,
O4Sr4,288,288,True,True,success,
O4Zn4,288,288,True,True,success,
O8Po4,288,288,True,True,success,
O8Tc4,288,288,True,True,success,
Os2,321,321,True,True,success,
P8,331,331,True,True,success,
Pb4,321,321,True,True,success,
Pb4S4,288,288,True,True,success,
Pd4,317,317,True,True,success,
Po,321,321,True,True,success,
Pt4,307,307,True,True,success,
Rb2,315,315,True,True,success,
Re2,321,321,True,True,success,
Rh4,315,315,True,True,success,
Rn4,307,236,False,True,incomplete,
Ru2,321,321,True,True,success,
S,329,329,True,True,success,
S4Sc4,288,288,True,True,success,
S4Sn4,288,288,True,True,success,
S4Zn4,288,288,True,True,success,
Sb6,321,321,True,True,success,
Sc2,325,325,True,True,success,
Se3,321,321,True,True,success,
Si2,333,333,True,True,success,
Sn2,321,321,True,True,success,
Sr4,317,296,False,True,incomplete,
Ta2,317,317,True,True,success,
Tc2,327,327,True,True,success,
Te3,323,323,True,True,success,
Te4Zn4,288,288,True,True,success,
Ti2,329,329,True,True,success,
Tl2,317,317,True,True,success,
V2,331,331,True,True,success,
W2,321,321,True,True,success,
Xe4,307,229,False,True,incomplete,
Y2,319,319,True,True,success,
Zn2,323,275,False,True,incomplete,
Zr2,321,321,True,True,success,
