formula,n_volume_groups
Ac2Cl6,2
Ag4,2
Ag4Cl4,2
AgKO3,1
Al4,2
Al4P4,2
AlGaO3,1
As4Ga4,2
As6,3
Au4,2
Au4S2,2
B12,3
B2N2,2
BCoV2,1
BOs,2
Ba4O4,2
BaK2Li,1
Be4S4,2
Bi4F12,2
Bi6,3
Br4Cu4,2
Br4K4,2
Br8,2
C4,2
C4Hf4,2
C4Nb4,2
C4Si4,2
C4Ta4,2
C4Th4,2
C4Ti4,2
C4V4,2
C4Zr4,2
CMo,2
CO3Ru,1
CW,2
Ca2CdP,1
Ca4O4,2
Cd2Se2,2
Cd4O4,2
Ce4N4,2
Cl4Cu4,2
Cl4K4,2
Cl4Na4,2
Cl4Rb4,2
Cl6La2,2
Cl8,2
ClCs,2
ClLi2Sn,1
ClTl,2
Co2,2
Co4O4,2
Cr2,2
Cr4N4,2
CuFe2Ni,1
Dy4N4,2
Er4N4,2
Eu4S4,2
F4Li4,2
F4Na4,2
F8,3
F8Hg4,2
F8Ra4,2
Fe2,2
Fe4O4,2
Ga4P4,2
Ga8,2
Gd4N4,2
Ge2,3
Ge3Te3,2
Ge4Mg4N8,1
H4,2
H4Li4,2
He2,2
Hf2,2
Ho4N4,2
I4Li4,2
I8,2
In2,2
In4P4,2
In4Sb4,2
Ir2O4,2
Ir4,2
IrNa2Zn,1
K2,2
Li3,3
Lu2,2
Lu4N4,2
Mg4O4,2
Mn4,3
Mn4S4,2
Mo2,2
N4Nd4,2
N4Pr4,2
N4Sm4,2
N4Tb4,2
N4Ti4,2
N4Tm4,2
N4V4,2
N4Y4,2
N4Yb4,2
N8,2
Na3,3
Nb2,2
Ni4,2
Ni4O4,2
O2Pd2,2
O2Pt2,2
O3Pm2,2
O3Re,2
O4,3
O4Rh2,2
O4Ru2,2
O4Sr4,2
O4Zn4,2
O8Po4,2
O8Tc4,2
Os2,2
P8,2
Pb4,2
Pb4S4,2
Pd4,2
Po,2
Pt4,2
Rb2,2
Re2,2
Rh4,2
Ru2,2
S,3
S4Sc4,2
S4Sn4,2
S4Zn4,2
Sb6,3
Sc2,2
Se3,2
Si2,3
Sn2,3
Ta2,2
Tc2,2
Te3,2
Te4Zn4,2
Ti2,2
Tl2,2
V2,2
W2,2
Y2,2
Zr2,2
